TOPIC_DESCRIPTION	USER
#timesup: Should individuals credibly accused of sexual assault or harassment be fired from positions of authority?	base-user
2020 Predictions: Who Has The Best Shot at Winning 2020?	base-user
A "liquid democracy" where individuals digitally vote on policy would be worse than a less representative form of gov't.	base-user
A Socialist Economy would work better than a Capitalist Economy.	base-user
A child doesn't owe his parents something for getting raised by them	base-user
A society with no gender would be better	base-user
AI Will Not Supplant Humans in Creating Art	base-user
Affirmative Action: Useful Once, Outdated Today?	base-user
All Humans Should Be Vegan.	base-user
All drugs should be legalized.	base-user
Anarchy is the only ethical system of society.	base-user
Are Bitcoin and Anonymous Payments Beneficial for the World?	base-user
Are Bitcoin and Similar Cryptocurrencies Good for the World?	base-user
Are Canada's new impaired driving laws appropriate?	base-user
Are Cryptocurrencies And Blockchain Technologies The Next 'Industrial Revolution'?	base-user
Are Ghosts Real?	base-user
Are Humans Evil?	base-user
Are Humans fundamentally different from other animals?	base-user
Are Men the Biggest Problem Mankind Faces?	base-user
Are Purity Pledges Harmful?	base-user
Are Strong Passwords Always Necessary?	base-user
Are The Rules Of The Criminal Justice System Fair?	base-user
Are Unions a Good Thing?	base-user
Are all humans born equal?	base-user
Are all our actions selfish to some degree?	base-user
Are decentralized marketplaces, like Open Bazaar, antithetical to privacy preserving trustless marketplaces?	base-user
Are democracies more peaceful than other political systems?	base-user
Are free markets better for humans than regulated markets?	base-user
Are humans primarily driven by emotions, rather than rationality?	base-user
Are identity politics detrimental to society?	base-user
Are modern democracies destined to fail due to their inherent weaknesses?	base-user
Are programs like Alcoholics Anonymous the best way to battle addiction	base-user
Are women better than men?	base-user
Arranged Marriages are Better than Love Matches	base-user
Artificial Intelligence (AI): Should an artificial general intelligence be created?	base-user
Autonomous Killing Machines: The Future of Warfare?	base-user
Black Panther: Who's Right About Wakanda's Role in the World?	base-user
Can Religious Faith and Science Co-exist?	base-user
Capital Punishment in the US: Inhumane or Just?	base-user
Children Voting: Should the Minimum Voting Age be Abolished?	base-user
Cigarettes should be banned	base-user
Citizens United Was Wrongly Decided	base-user
Compulsory Voting: Should Voting be Mandatory?	base-user
Computers are important and useful in the modern world	base-user
Could letting kids fight help reduce bullying?	base-user
Creationism is not a valid model of origins.	base-user
Cruel and Unusual: Should Capital Punishment Hurt?	base-user
Cultural Anthropology should be a required course for all high school students.	base-user
DACA and DREAMers: Should DREAMers be Granted Citizenship?	base-user
Denmark should legalise cannabis	base-user
Did Trump Collude with Russia?	base-user
Did the US have to use nuclear weapons to achieve Japan's unconditional surrender?	base-user
Do ICOs provide a better investment option for small investors than other options?	base-user
Do Parents Have an Obligation to Genetically Enhance Their Babies?	base-user
Do all or most White Americans experience privilege?	base-user
Do corporations benefit society?	base-user
Do electronic devices help or hurt children's development?	base-user
Do emotions and opinions have any place in an argument?	base-user
Do gun control laws reduce crime?	base-user
Do we need nuclear power for sustainable energy production?	base-user
Do we need religion for morality?	base-user
Doctors should be banned from performing genital reshaping surgery on intersex infants	base-user
Does A College Degree Guarantee A Job?	base-user
Does Crime Control (Speedy Justice) trump Due Process?	base-user
Does Feminism Empower Both Women And Men?	base-user
Does Feminism Strive For Equality?	base-user
Does God Allow Evil: Is the Existence of God Compatible with the Existence of Evil?	base-user
Does Hell Exist?	base-user
Does Morality Precede Religion?	base-user
Does Science Leave Room for Free Will?	base-user
Does Social Media Exacerbate Eating Disorders?	base-user
Does Transgenderism exist?	base-user
Does pineapple belong on pizza?	base-user
Does science justify atheism?	base-user
Does the European Union lack the necessary public discourse to function properly?	base-user
